Date : 2023-01-01 11:17:42
Directory : /Users/junaid./Documents/GitHub/wrapify
Total : 99 files,  392858 codes, 1474 comments, 1160 blanks, all 395492 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/junaid./Documents/GitHub/wrapify/package-lock.json                              | JSON               |      2,379 |          0 |          1 |      2,380 |
| /Users/junaid./Documents/GitHub/wrapify/package.json                                   | JSON               |         42 |          0 |          1 |         43 |
| /Users/junaid./Documents/GitHub/wrapify/pages/_app.jsx                                 | JavaScript React   |        106 |          4 |         15 |        125 |
| /Users/junaid./Documents/GitHub/wrapify/pages/_document.js                             | JavaScript         |         12 |          0 |          1 |         13 |
| /Users/junaid./Documents/GitHub/wrapify/pages/about.js                                 | JavaScript         |         45 |          0 |          6 |         51 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/addproducts.js                       | JavaScript         |         40 |         20 |          5 |         65 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/contactus.js                         | JavaScript         |         26 |          0 |          5 |         31 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/forgotpassword.js                    | JavaScript         |         19 |          0 |          4 |         23 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/getproducts.js                       | JavaScript         |         25 |          0 |          5 |         30 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/getuser.js                           | JavaScript         |         14 |          4 |          8 |         26 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/hello.js                             | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/invoice.js                           | JavaScript         |         52 |         36 |         14 |        102 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/login.js                             | JavaScript         |         27 |          3 |          3 |         33 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/mailapi.js                           | JavaScript         |        988 |         46 |        102 |      1,136 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/mobile.js                            | JavaScript         |          4 |         12 |          3 |         19 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/myorders.js                          | JavaScript         |         15 |          1 |          4 |         20 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/newsletter.js                        | JavaScript         |         27 |          0 |          5 |         32 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/paymentverify.js                     | JavaScript         |         25 |          2 |          9 |         36 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/pincode.js                           | JavaScript         |          8 |          3 |          3 |         14 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/posttransaction.js                   | JavaScript         |          3 |          0 |          0 |          3 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/pretransaction.js                    | JavaScript         |         48 |         13 |         14 |         75 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/razorpay.js                          | JavaScript         |         97 |         20 |         16 |        133 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/shiprocket.js                        | JavaScript         |         25 |          1 |          9 |         35 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/shiprockorderplace.js                | JavaScript         |         18 |          1 |          4 |         23 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/signup.js                            | JavaScript         |         20 |          2 |          3 |         25 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/time.js                              | JavaScript         |         10 |          0 |          8 |         18 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/updateorder.js                       | JavaScript         |         14 |          6 |          4 |         24 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/updatepassword.js                    | JavaScript         |         25 |          0 |          3 |         28 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/updateproducts.js                    | JavaScript         |         14 |          4 |          3 |         21 |
| /Users/junaid./Documents/GitHub/wrapify/pages/api/updateuser.js                        | JavaScript         |         20 |          2 |          3 |         25 |
| /Users/junaid./Documents/GitHub/wrapify/pages/cart.js                                  | JavaScript         |         72 |          9 |         15 |         96 |
| /Users/junaid./Documents/GitHub/wrapify/pages/checkout.js                              | JavaScript         |        391 |         78 |         60 |        529 |
| /Users/junaid./Documents/GitHub/wrapify/pages/collection/[design]/index.js             | JavaScript         |         65 |         15 |         14 |         94 |
| /Users/junaid./Documents/GitHub/wrapify/pages/collection/color.js                      | JavaScript         |        109 |          5 |         26 |        140 |
| /Users/junaid./Documents/GitHub/wrapify/pages/collection/index.js                      | JavaScript         |         62 |         15 |         13 |         90 |
| /Users/junaid./Documents/GitHub/wrapify/pages/contact.js                               | JavaScript         |         69 |          0 |          5 |         74 |
| /Users/junaid./Documents/GitHub/wrapify/pages/faqs.js                                  | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/junaid./Documents/GitHub/wrapify/pages/forgot.js                                | JavaScript         |        103 |          0 |         11 |        114 |
| /Users/junaid./Documents/GitHub/wrapify/pages/index.js                                 | JavaScript         |         25 |          1 |          5 |         31 |
| /Users/junaid./Documents/GitHub/wrapify/pages/login.js                                 | JavaScript         |        120 |          0 |         13 |        133 |
| /Users/junaid./Documents/GitHub/wrapify/pages/myaccount.js                             | JavaScript         |        252 |         42 |         41 |        335 |
| /Users/junaid./Documents/GitHub/wrapify/pages/mzart/admin/firozandjunaid.js            | JavaScript         |         25 |          2 |          8 |         35 |
| /Users/junaid./Documents/GitHub/wrapify/pages/mzart/admin/orderinfo.js                 | JavaScript         |        181 |          4 |         23 |        208 |
| /Users/junaid./Documents/GitHub/wrapify/pages/order.js                                 | JavaScript         |        182 |          2 |         17 |        201 |
| /Users/junaid./Documents/GitHub/wrapify/pages/orders.js                                | JavaScript         |        107 |          3 |         32 |        142 |
| /Users/junaid./Documents/GitHub/wrapify/pages/privacy_policy.js                        | JavaScript         |        488 |          0 |          3 |        491 |
| /Users/junaid./Documents/GitHub/wrapify/pages/products/[slug].js                       | JavaScript         |        152 |        109 |         11 |        272 |
| /Users/junaid./Documents/GitHub/wrapify/pages/refund_return_policy.js                  | JavaScript         |        102 |          0 |          4 |        106 |
| /Users/junaid./Documents/GitHub/wrapify/pages/signup.js                                | JavaScript         |        133 |          1 |          8 |        142 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/[design]/index.js | JavaScript         |        113 |        286 |         34 |        433 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/customize.js      | JavaScript         |        169 |         50 |         41 |        260 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/dadu/customize.js | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/dadu/index.js     | JavaScript         |         10 |          0 |          3 |         13 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/index.js          | JavaScript         |         74 |          1 |         11 |         86 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/index.js                   | JavaScript         |         49 |         70 |         16 |        135 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skin/index.js                            | JavaScript         |         73 |          5 |         16 |         94 |
| /Users/junaid./Documents/GitHub/wrapify/pages/skins.js                                 | JavaScript         |         22 |         24 |         16 |         62 |
| /Users/junaid./Documents/GitHub/wrapify/pages/terms_and_condition.js                   | JavaScript         |        271 |          0 |          3 |        274 |
| /Users/junaid./Documents/GitHub/wrapify/pages/trackorder.js                            | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/junaid./Documents/GitHub/wrapify/pincode.json                                   | JSON               |    381,994 |          0 |         18 |    382,012 |
| /Users/junaid./Documents/GitHub/wrapify/postcss.config.js                              | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/junaid./Documents/GitHub/wrapify/public/icons/Internet.svg                      | XML                |          1 |          0 |          0 |          1 |
| /Users/junaid./Documents/GitHub/wrapify/public/icons/bag.svg                           | XML                |          2 |          0 |          0 |          2 |
| /Users/junaid./Documents/GitHub/wrapify/public/icons/cross.svg                         | XML                |          5 |          0 |          0 |          5 |
| /Users/junaid./Documents/GitHub/wrapify/public/icons/payment.svg                       | XML                |          1 |          0 |          0 |          1 |
| /Users/junaid./Documents/GitHub/wrapify/public/icons/rightarraw.svg                    | XML                |          5 |          0 |          0 |          5 |
| /Users/junaid./Documents/GitHub/wrapify/public/vercel.svg                              | XML                |          4 |          0 |          0 |          4 |
| /Users/junaid./Documents/GitHub/wrapify/styles/globals.css                             | CSS                |          7 |          0 |          5 |         12 |
| /Users/junaid./Documents/GitHub/wrapify/tailwind.config.js                             | JavaScript         |         31 |          4 |          6 |         41 |
| /Users/junaid./Documents/GitHub/wrapify/template/index.html                            | HTML               |      1,165 |         48 |        122 |      1,335 |
| /Users/junaid./Documents/GitHub/wrapify/tsconfig.json                                  | JSON with Comments |         20 |          0 |          1 |         21 |
| Total                                                                                  |                    |    392,858 |      1,474 |      1,160 |    395,492 |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
