"filename", "language", "JavaScript", "JavaScript React", "JSON", "JSON with Comments", "Markdown", "XML", "CSS", "HTML", "comment", "blank", "total"
"/Users/junaid./Documents/GitHub/wrapify/pages/api/mobile.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 12, 3, 19
"/Users/junaid./Documents/GitHub/wrapify/pages/api/myorders.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/junaid./Documents/GitHub/wrapify/pages/api/newsletter.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/junaid./Documents/GitHub/wrapify/pages/api/paymentverify.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 2, 9, 36
"/Users/junaid./Documents/GitHub/wrapify/pages/api/pincode.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 3, 14
"/Users/junaid./Documents/GitHub/wrapify/pages/api/posttransaction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/junaid./Documents/GitHub/wrapify/pages/api/pretransaction.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 13, 14, 75
"/Users/junaid./Documents/GitHub/wrapify/pages/api/razorpay.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 20, 16, 133
"/Users/junaid./Documents/GitHub/wrapify/pages/api/shiprocket.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/junaid./Documents/GitHub/wrapify/pages/api/shiprockorderplace.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/junaid./Documents/GitHub/wrapify/pages/api/signup.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/junaid./Documents/GitHub/wrapify/pages/api/time.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"/Users/junaid./Documents/GitHub/wrapify/pages/api/updateorder.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 6, 4, 24
"/Users/junaid./Documents/GitHub/wrapify/pages/api/updatepassword.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/junaid./Documents/GitHub/wrapify/pages/api/updateproducts.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 3, 21
"/Users/junaid./Documents/GitHub/wrapify/pages/api/updateuser.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/junaid./Documents/GitHub/wrapify/pages/cart.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 9, 15, 96
"/Users/junaid./Documents/GitHub/wrapify/pages/checkout.js", "JavaScript", 391, 0, 0, 0, 0, 0, 0, 0, 78, 60, 529
"/Users/junaid./Documents/GitHub/wrapify/pages/collection/[design]/index.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 15, 14, 94
"/Users/junaid./Documents/GitHub/wrapify/pages/collection/color.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 5, 26, 140
"/Users/junaid./Documents/GitHub/wrapify/pages/collection/index.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 15, 13, 90
"/Users/junaid./Documents/GitHub/wrapify/pages/contact.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"/Users/junaid./Documents/GitHub/wrapify/pages/faqs.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/junaid./Documents/GitHub/wrapify/pages/forgot.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 11, 114
"/Users/junaid./Documents/GitHub/wrapify/pages/index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"/Users/junaid./Documents/GitHub/wrapify/pages/login.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 13, 133
"/Users/junaid./Documents/GitHub/wrapify/pages/myaccount.js", "JavaScript", 252, 0, 0, 0, 0, 0, 0, 0, 42, 41, 335
"/Users/junaid./Documents/GitHub/wrapify/pages/mzart/admin/firozandjunaid.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 2, 8, 35
"/Users/junaid./Documents/GitHub/wrapify/pages/mzart/admin/orderinfo.js", "JavaScript", 181, 0, 0, 0, 0, 0, 0, 0, 4, 23, 208
"/Users/junaid./Documents/GitHub/wrapify/pages/order.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 2, 17, 201
"/Users/junaid./Documents/GitHub/wrapify/pages/orders.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 3, 32, 142
"/Users/junaid./Documents/GitHub/wrapify/pages/privacy_policy.js", "JavaScript", 488, 0, 0, 0, 0, 0, 0, 0, 0, 3, 491
